Country,Country_code,Year,%_change
United States,USA,1801,14656.016
United States,USA,1802,21984
United States,USA,1803,7328
United States,USA,1804,36640
United States,USA,1805,7328
United States,USA,1806,-7328
United States,USA,1807,43968
United States,USA,1808,14656
United States,USA,1809,10992
United States,USA,1810,14656
United States,USA,1811,29312
United States,USA,1812,36640
United States,USA,1813,36640
United States,USA,1814,40304
United States,USA,1815,40304
United States,USA,1816,62288
United States,USA,1817,54960
United States,USA,1818,62288
United States,USA,1819,-18320
United States,USA,1820,29312
United States,USA,1821,36640
United States,USA,1822,36640
United States,USA,1823,36640
United States,USA,1824,113584
United States,USA,1825,120912
United States,USA,1826,179536
United States,USA,1827,131904
United States,USA,1828,146560
United States,USA,1829,201520
United States,USA,1830,293120
United States,USA,1831,175872
United States,USA,1832,758448
United States,USA,1833,505632
United States,USA,1834,-146560
United States,USA,1835,934320
United States,USA,1836,414032
United States,USA,1837,575248
United States,USA,1838,-274800
United States,USA,1839,487312
United States,USA,1840,355408
United States,USA,1841,340752
United States,USA,1842,703488
United States,USA,1843,846384
United States,USA,1844,1542544
United States,USA,1845,1897952
United States,USA,1846,1505904
United States,USA,1847,2359616
United States,USA,1848,1714752
United States,USA,1849,1436288
United States,USA,1850,1571856
United States,USA,1851,4840144
United States,USA,1852,2158096
United States,USA,1853,3370880
United States,USA,1854,2997150
United States,USA,1855,5001362
United States,USA,1856,1875968
United States,USA,1857,1018592
United States,USA,1858,593568
United States,USA,1859,3671328
United States,USA,1860,2117792
United States,USA,1861,-1758720
United States,USA,1862,1769712
United States,USA,1863,7360976
United States,USA,1864,3847200
United States,USA,1865,164880
United States,USA,1866,410368
United States,USA,1867,13633744
United States,USA,1868,9486096
United States,USA,1869,11343744
United States,USA,1870,4924416
United States,USA,1871,4400464
United States,USA,1872,23284720
United States,USA,1873,13201392
United States,USA,1874,-5210208
United States,USA,1875,1450944
United States,USA,1876,-2927528
United States,USA,1877,14355544
United States,USA,1878,-3271952
United States,USA,1879,31565360
United States,USA,1880,23215280
United States,USA,1881,11508656
United States,USA,1882,25201056
United States,USA,1883,18488624
United States,USA,1884,13706992
United States,USA,1885,4572704
United States,USA,1886,15300896
United States,USA,1887,19917664
United States,USA,1888,66494270
United States,USA,1889,-38332704
United States,USA,1890,66204896
United States,USA,1891,25677280
United States,USA,1892,23024640
United States,USA,1893,3645632
United States,USA,1894,-29044480
United States,USA,1895,54897730
United States,USA,1896,934368
United States,USA,1897,19404672
United States,USA,1898,45034336
United States,USA,1899,80212540
United States,USA,1900,37204416
United States,USA,1901,58789120
United States,USA,1902,42968190
United States,USA,1903,129911170
United States,USA,1904,-12349376
United States,USA,1905,104424900
United States,USA,1906,48988736
United States,USA,1907,168390340
United States,USA,1908,-151048640
United States,USA,1909,112893380
United States,USA,1910,105875840
United States,USA,1911,-12915456
United States,USA,1912,84898940
United States,USA,1913,98976510
United States,USA,1914,-124561790
United States,USA,1915,49716736
United States,USA,1916,151283710
United States,USA,1917,151989890
United States,USA,1918,76747520
United States,USA,1919,-268559360
United States,USA,1920,259086980
United States,USA,1921,-314577150
United States,USA,1922,12089728
United States,USA,1923,460977540
United States,USA,1924,-198415620
United States,USA,1925,59865216
United States,USA,1926,147863040
United States,USA,1927,-43209344
United States,USA,1928,-31874176
United States,USA,1929,132541180
United States,USA,1930,-218589950
United States,USA,1931,-259957120
United States,USA,1932,-227144960
United States,USA,1933,91062660
United States,USA,1934,87361790
United States,USA,1935,56082304
United States,USA,1936,221090820
United States,USA,1937,79198210
United States,USA,1938,-276860030
United States,USA,1939,155170560
United States,USA,1940,204064640
United States,USA,1941,168599940
United States,USA,1942,154679800
United States,USA,1943,73794300
United States,USA,1944,172844540
United States,USA,1945,-85352190
United States,USA,1946,-102057730
United States,USA,1947,228360700
United States,USA,1948,96704260
United States,USA,1949,-417696500
United States,USA,1950,376623100
United States,USA,1951,77226240
United States,USA,1952,-67492100
United States,USA,1953,61751810
United States,USA,1954,-123508990
United States,USA,1955,239049730
United States,USA,1956,131482880
United States,USA,1957,-24222720
United States,USA,1958,-88664580
United States,USA,1959,84815620
United States,USA,1960,65391870
United States,USA,1961,-10442240
United States,USA,1962,107029250
United States,USA,1963,132585470
United States,USA,1964,137826050
United States,USA,1965,135233280
United States,USA,1966,171874560
United States,USA,1967,134039550
United States,USA,1968,135458560
United States,USA,1969,194225660
United States,USA,1970,304540670
United States,USA,1971,25779200
United States,USA,1972,207549950
United States,USA,1973,212033540
United States,USA,1974,-164002820
United States,USA,1975,-142819840
United States,USA,1976,269536260
United States,USA,1977,141845000
United States,USA,1978,51754496
United States,USA,1979,67216900
United States,USA,1980,-200057860
United States,USA,1981,-122151420
United States,USA,1982,-239113220
United States,USA,1983,-17882112
United States,USA,1984,232767490
United States,USA,1985,-9561600
United States,USA,1986,10789888
United States,USA,1987,162280960
United States,USA,1988,224824830
United States,USA,1989,81658880
United States,USA,1990,-9638400
United States,USA,1991,-57508864
United States,USA,1992,110233090
United States,USA,1993,99142660
United States,USA,1994,91215870
United States,USA,1995,62219776
United States,USA,1996,188632060
United States,USA,1997,75433980
United States,USA,1998,45264896
United States,USA,1999,73202180
United States,USA,2000,206019070
United States,USA,2001,-104362500
United States,USA,2002,40710656
United States,USA,2003,63105536
United States,USA,2004,102158340
United States,USA,2005,19640832
United States,USA,2006,-80440320
United States,USA,2007,78124030
United States,USA,2008,-216418820
United States,USA,2009,-435890700
United States,USA,2010,198414340
United States,USA,2011,-134763000
United States,USA,2012,-201175040
United States,USA,2013,135472130
United States,USA,2014,47944704
United States,USA,2015,-152292860
United States,USA,2016,-124820480
United States,USA,2017,-40800256
United States,USA,2018,165700100
United States,USA,2019,-117513220
United States,USA,2020,-543453200
United States,USA,2021,291644930